cluster_id,panel_id,size,representative_rel_path
C31157,P1,24,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_07407.jpg
C31171,P1,24,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_07484.jpg
C41923,P1,24,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR3_03646.jpg
C44203,P1,24,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_03157.jpg
C54709,P5,24,P5-PF&PT반/A1_B2_P5_2022-07-19_IR2_04108.jpg
C62663,P6,24,P6-VCB반/A1_B2_P6_2022-07-19_IR3_00531.jpg
C65530,P6,24,P6-VCB반/A3_B1_P6_2022-07-01_IR3_00004.jpg
C83151,P9,24,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_3_00258.jpg
C13483,P1,23,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR2_00199.jpg
C13897,P1,23,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR2_01030.jpg
C44235,P1,23,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_03289.jpg
C102969,P10,23,P10-ACB&MCCB반/A2_B1_P10_2022-07-11_IR2_4_00655.jpg
C48604,P2,23,P2-LBS&LA반/A2_B1_P2_2022-07-11_IR2_1_00461.jpg
C66157,P6,23,P6-VCB반/A3_B1_P6_2022-07-01_IR3_01884.jpg
C74762,P8,23,P8-ACB반/A3_B3_P8_2022-07-15_IR3_00303.jpg
C13730,P1,22,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR2_00695.jpg
C17619,P1,22,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR3_04026.jpg
C27802,P1,22,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_01261.jpg
C101284,P10,22,P10-ACB&MCCB반/A1_B3_P10_2022-07-19_IR2_01400.jpg
C75519,P9,22,P9-MCCB반/A1_B1_P9_2022-07-19_IR2_00623.jpg
C82813,P9,22,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_2_00356.jpg
C83946,P9,22,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_5_00280.jpg
C85267,P9,22,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_8_00454.jpg
C85276,P9,22,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_8_00483.jpg
C91437,P9,22,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_03428.jpg
C6527,P1,21,P1-TR반/New Folder With Items/A1_B1_P1_2022-07-19_IR3_00848.jpg
C12130,P1,21,P1-TR반/New Folder With Items/A1_B2_P1_2022-07-19_IR3_01712.jpg
C13772,P1,21,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR2_00771.jpg
C13850,P1,21,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR2_00883.jpg
C21111,P1,21,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_2_02347.jpg
C33790,P1,21,P1-TR반/New Folder With Items/A3_B1_P1_2022-07-01_IR3_01281.jpg
C34857,P1,21,P1-TR반/New Folder With Items/A3_B2_P1_2022-07-15_IR2_01206.jpg
C38654,P1,21,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR2_01777.jpg
C39485,P1,21,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR2_04373.jpg
C40867,P1,21,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR3_00828.jpg
C2250,P1,21,P1-TR반/A3_B4_P1_2022-07-15_IR3_02847.jpg
C102959,P10,21,P10-ACB&MCCB반/A2_B1_P10_2022-07-11_IR2_4_00627.jpg
C60538,P6,21,P6-VCB반/A1_B1_P6_2022-07-25_IR2_02528.jpg
C61877,P6,21,P6-VCB반/A1_B2_P6_2022-07-19_IR2_00789.jpg
C65666,P6,21,P6-VCB반/A3_B1_P6_2022-07-01_IR3_00391.jpg
C77554,P9,21,P9-MCCB반/A1_B2_P9_2022-07-19_IR2_00903.jpg
C82319,P9,21,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_10_00523.jpg
C82377,P9,21,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_10_01688.jpg
C13714,P1,20,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR2_00640.jpg
C13957,P1,20,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR2_01128.jpg
C30397,P1,20,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_05989.jpg
C32058,P1,20,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_09184.jpg
C38875,P1,20,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR2_02214.jpg
C44316,P1,20,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_03480.jpg
