panel_id,camera,rel_path,exists,status,raw_shape,visual_shape,model,temp_min,temp_max,error
P7,IR1,P7-VCB&CT반/A1_B1_P7_2022-05-12_IR1_00002.jpg,True,OK,320x240,640x480,FLIR E8,20.6,24.9,
P7,IR1,P7-VCB&CT반/A1_B1_P7_2022-06-17_IR1_00011.jpg,True,OK,320x240,640x480,FLIR E8,21.8,25.2,
P7,IR1,P7-VCB&CT반/A1_B1_P7_2022-06-17_IR1_00006.jpg,True,OK,320x240,640x480,FLIR E8,23.5,27.5,
P7,IR1,P7-VCB&CT반/A1_B1_P7_2022-05-12_IR1_00008.jpg,True,OK,320x240,640x480,FLIR E8,17.7,21.9,
P7,IR1,P7-VCB&CT반/A1_B1_P7_2022-05-12_IR1_00011.jpg,True,OK,320x240,640x480,FLIR E8,17.7,21.0,
P7,IR1,P7-VCB&CT반/A1_B1_P7_2022-05-12_IR1_00016.jpg,True,OK,320x240,640x480,FLIR E8,20.8,27.3,
P7,IR1,P7-VCB&CT반/A1_B1_P7_2022-05-12_IR1_00019.jpg,True,OK,320x240,640x480,FLIR E8,20.0,24.4,
P7,IR1,P7-VCB&CT반/A1_B1_P7_2022-06-17_IR1_00010.jpg,True,OK,320x240,640x480,FLIR E8,21.9,24.8,
P7,IR1,P7-VCB&CT반/A1_B1_P7_2022-05-12_IR1_00017.jpg,True,OK,320x240,640x480,FLIR E8,18.8,23.5,
P7,IR2,P7-VCB&CT반/A1_B1_P7_2022-07-27_IR2_00562.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P7,IR2,P7-VCB&CT반/A1_B1_P7_2022-07-27_IR2_00170.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P7,IR2,P7-VCB&CT반/A1_B1_P7_2022-07-27_IR2_00876.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P7,IR2,P7-VCB&CT반/A1_B1_P7_2022-07-25_IR2_01036.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P7,IR2,P7-VCB&CT반/A1_B1_P7_2022-07-27_IR2_00808.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P7,IR2,P7-VCB&CT반/A1_B1_P7_2022-07-25_IR2_01391.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P7,IR2,P7-VCB&CT반/A1_B1_P7_2022-07-25_IR2_00375.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P7,IR2,P7-VCB&CT반/A1_B1_P7_2022-07-25_IR2_00240.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P7,IR2,P7-VCB&CT반/A1_B1_P7_2022-07-27_IR2_00893.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P7,IR2,P7-VCB&CT반/A1_B1_P7_2022-07-25_IR2_00362.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P7,IR3,P7-VCB&CT반/A1_B1_P7_2022-07-19_IR3_00253.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P7,IR3,P7-VCB&CT반/A3_B1_P7_2022-07-01_IR3_00822.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P7,IR3,P7-VCB&CT반/A3_B1_P7_2022-07-01_IR3_00110.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P7,IR3,P7-VCB&CT반/A3_B1_P7_2022-07-01_IR3_00184.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P7,IR3,P7-VCB&CT반/A3_B1_P7_2022-07-01_IR3_00759.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P7,IR3,P7-VCB&CT반/A3_B1_P7_2022-07-01_IR3_00588.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P7,IR3,P7-VCB&CT반/A3_B1_P7_2022-07-01_IR3_00056.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P7,IR3,P7-VCB&CT반/A3_B1_P7_2022-07-01_IR3_00170.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P7,IR3,P7-VCB&CT반/A3_B1_P7_2022-07-01_IR3_00511.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P7,IR3,P7-VCB&CT반/A3_B1_P7_2022-07-01_IR3_00132.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR1,P8-ACB반/A2_B1_P8_2022-06-03_IR1_00026.jpg,True,OK,320x240,640x480,FLIR E8,28.0,34.3,
P8,IR1,P8-ACB반/A1_B3_P8_2022-05-24_IR1_00030.jpg,True,OK,320x240,640x480,FLIR E8,24.5,28.9,
P8,IR1,P8-ACB반/A3_B2_P8_2022-06-17_IR1_00025.jpg,True,OK,320x240,640x480,FLIR E8,25.4,37.6,
P8,IR1,P8-ACB반/A1_B3_P8_2022-05-24_IR1_00019.jpg,True,OK,320x240,640x480,FLIR E8,24.6,29.7,
P8,IR1,P8-ACB반/A2_B1_P8_2022-06-03_IR1_00012.jpg,True,OK,320x240,640x480,FLIR E8,27.3,30.7,
P8,IR1,P8-ACB반/A1_B2_P8_2022-05-12_IR1_00003.jpg,True,OK,320x240,640x480,FLIR E8,21.4,30.1,
P8,IR1,P8-ACB반/A3_B4_P8_2022-06-17_IR1_00012.jpg,True,OK,320x240,640x480,FLIR E8,26.3,31.3,
P8,IR1,P8-ACB반/A3_B2_P8_2022-06-17_IR1_00022.jpg,True,OK,320x240,640x480,FLIR E8,25.8,37.6,
P8,IR1,P8-ACB반/A3_B2_P8_2022-06-17_IR1_00020.jpg,True,OK,320x240,640x480,FLIR E8,28.6,39.7,
P8,IR1,P8-ACB반/A1_B3_P8_2022-05-24_IR1_00003.jpg,True,OK,320x240,640x480,FLIR E8,23.6,27.8,
P8,IR2,P8-ACB반/A1_B2_P8_2022-07-19_IR2_00061.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR2,P8-ACB반/A1_B2_P8_2022-07-19_IR2_01068.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR2,P8-ACB반/A2_B1_P8_2022-07-11_IR2_3_00818.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR2,P8-ACB반/A2_B1_P8_2022-07-11_IR2_4_00622.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR2,P8-ACB반/A2_B1_P8_2022-07-11_IR2_3_00731.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR2,P8-ACB반/A1_B2_P8_2022-07-19_IR2_00154.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR2,P8-ACB반/A2_B1_P8_2022-07-11_IR2_4_00800.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR2,P8-ACB반/A2_B1_P8_2022-07-11_IR2_2_01284.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR2,P8-ACB반/A1_B2_P8_2022-07-19_IR2_00108.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR2,P8-ACB반/A2_B1_P8_2022-07-11_IR2_2_01300.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR3,P8-ACB반/A3_B2_P8_2022-07-15_IR3_00497.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR3,P8-ACB반/A2_B1_P8_2022-07-11_IR3_00785.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR3,P8-ACB반/A2_B1_P8_2022-07-11_IR3_01216.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR3,P8-ACB반/A2_B1_P8_2022-07-11_IR3_03124.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR3,P8-ACB반/A3_B2_P8_2022-07-15_IR3_00705.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR3,P8-ACB반/A3_B2_P8_2022-07-15_IR3_00794.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR3,P8-ACB반/A2_B1_P8_2022-07-11_IR3_00777.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR3,P8-ACB반/A3_B3_P8_2022-07-15_IR3_00156.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR3,P8-ACB반/A2_B1_P8_2022-07-11_IR3_00495.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P8,IR3,P8-ACB반/A2_B1_P8_2022-07-11_IR3_00257.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR1,P9-MCCB반/A3_B2_P9_2022-06-17_IR1_00084.jpg,True,OK,320x240,640x480,FLIR E8,25.7,32.0,
P9,IR1,P9-MCCB반/A1_B1_P9_2022-06-17_IR1_00023.jpg,True,OK,320x240,640x480,FLIR E8,24.4,25.9,
P9,IR1,P9-MCCB반/A2_B1_P9_2022-06-03_IR1_00005.jpg,True,OK,320x240,640x480,FLIR E8,26.4,29.8,
P9,IR1,P9-MCCB반/A2_B1_P9_2022-06-03_IR1_00064.jpg,True,OK,320x240,640x480,FLIR E8,26.9,34.4,
P9,IR1,P9-MCCB반/A3_B2_P9_2022-06-17_IR1_00065.jpg,True,OK,320x240,640x480,FLIR E8,25.9,31.2,
P9,IR1,P9-MCCB반/A1_B1_P9_2022-06-17_IR1_00013.jpg,True,OK,320x240,640x480,FLIR E8,23.0,27.2,
P9,IR1,P9-MCCB반/A1_B3_P9_2022-05-24_IR1_00014.jpg,True,OK,320x240,640x480,FLIR E8,23.9,30.0,
P9,IR1,P9-MCCB반/A1_B3_P9_2022-05-24_IR1_00012.jpg,True,OK,320x240,640x480,FLIR E8,25.0,27.9,
P9,IR1,P9-MCCB반/A1_B3_P9_2022-05-24_IR1_00056.jpg,True,OK,320x240,640x480,FLIR E8,25.8,28.8,
P9,IR1,P9-MCCB반/A1_B1_P9_2022-06-17_IR1_00007.jpg,True,OK,320x240,640x480,FLIR E8,22.6,25.2,
P9,IR2,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_02003.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR2,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_01908.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR2,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_05319.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR2,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_05932.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR2,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_2_00884.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR2,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_8_01564.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR2,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_6_01988.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR2,P9-MCCB반/A1_B2_P9_2022-07-19_IR2_02097.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR2,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_5_00302.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR2,P9-MCCB반/A1_B1_P9_2022-07-19_IR2_01593.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR3,P9-MCCB반/A2_B1_P9_2022-07-11_IR3_00216.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR3,P9-MCCB반/A2_B1_P9_2022-07-11_IR3_00634.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR3,P9-MCCB반/A2_B1_P9_2022-07-11_IR3_03041.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR3,P9-MCCB반/A3_B2_P9_2022-07-15_IR3_00102.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR3,P9-MCCB반/A2_B1_P9_2022-07-11_IR3_01163.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR3,P9-MCCB반/A3_B5_P9_2022-07-01_IR3_00506.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR3,P9-MCCB반/A2_B1_P9_2022-07-11_IR3_00631.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR3,P9-MCCB반/A3_B1_P9_2022-07-01_IR3_01358.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR3,P9-MCCB반/A3_B2_P9_2022-07-15_IR3_02232.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P9,IR3,P9-MCCB반/A1_B2_P9_2022-07-19_IR3_00426.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
