panel_folder,filename,reason
P1-TR반,._A1_B1_P1_2022-06-17_IR1_00029.jpg,AppleDouble(._) 부산물
P2-LBS&LA반,._A1_B1_P2_2022-05-12_IR1_00002.jpg,AppleDouble(._) 부산물
P2-LBS&LA반,._A1_B1_P2_2022-05-12_IR1_00037.jpg,AppleDouble(._) 부산물
P2-LBS&LA반,._A2_B1_P2_2022-07-11_IR2_00001_rgb_image.jpg,AppleDouble(._) 부산물
P5-PF&PT반,._A2_B1_P5_2022-07-11_IR2_00008_rgb_image.jpg,AppleDouble(._) 부산물
P6-VCB반,._A1_B2_P6_2022-05-12_IR1_00001.jpg,AppleDouble(._) 부산물
P7-VCB&CT반,._A1_B1_P7_2022-05-12_IR1_00004_rgb_image.jpg,AppleDouble(._) 부산물
