source,old_class_id,old_class_ko,n,area_median,area_p05,area_p95,aspect_median,aspect_iqr,tiny_boxes,edge_touch_any,edge_touch_2plus
6ban,15,분기 접촉부,387,0.05312,0.01725,0.11471,0.186,0.062,0,128,1
6ban,17,VCB 접촉부,159,0.00675,0.00257,0.02127,0.432,0.171,0,11,0
9ban,20,콘덴서,1,0.03105,0.03105,0.03105,0.938,0.0,0,0,0
9ban,21,MCCB,994,0.06005,0.01641,0.2508,1.079,0.441,0,355,0
9ban,22,MCCB 접촉부,1778,0.00998,0.00295,0.03468,0.207,0.09,21,392,1
9ban,23,ACB 접촉부,20,0.13781,0.01843,0.20966,1.075,0.813,0,4,0
