image,kind,auto_cause,a_box,e_box,iou,a_area,e_area,a_edges,e_edges,note_auto,verdict,note_human
# verdict 칸을 사람이 채운다 — 규칙문제 / 단위해석 / 보수적판단 / 기존과대 / 경계가림 / 판단불가,,,,,,,,,,,,
B03_다른클래스겹침,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),,2,0.161,,0.02432,,0,,,
B03_작은객체,MATCHED,,0,18,0.853,0.01957,0.02293,0,0,,,
B03_작은객체,MATCHED,,7,20,0.848,0.0147,0.01247,0,0,,,
B03_작은객체,MATCHED,,6,21,0.848,0.0147,0.01247,0,0,,,
B03_작은객체,MATCHED,,25,27,0.824,0.00323,0.00312,0,0,,,
B03_작은객체,MATCHED,,23,24,0.824,0.00323,0.00312,0,0,,,
B03_작은객체,MATCHED,,18,23,0.824,0.00323,0.00312,0,0,,,
B03_작은객체,MATCHED,,17,19,0.81,0.01527,0.01755,0,0,,,
B03_작은객체,MATCHED,,11,10,0.789,0.00419,0.0053,0,0,,,
B03_작은객체,MATCHED,,8,6,0.771,0.00419,0.00543,0,0,,,
B03_작은객체,MATCHED,,14,12,0.768,0.00419,0.00432,0,0,,,
B03_작은객체,MATCHED,,3,16,0.768,0.01957,0.02547,0,0,,,
B03_작은객체,MATCHED_LOW,경계 규칙,24,26,0.734,0.00305,0.00312,0,0,,,
B03_작은객체,MATCHED_LOW,경계 규칙,1,14,0.696,0.01957,0.02814,0,0,,,
B03_작은객체,MATCHED_LOW,경계 규칙,2,17,0.683,0.01957,0.02867,0,0,,,
B03_작은객체,MATCHED_LOW,경계 규칙,22,25,0.668,0.00323,0.00312,0,0,,,
B03_작은객체,MATCHED_LOW,경계 규칙,4,30,0.637,0.01791,0.02814,0,0,,,
B03_작은객체,MATCHED_LOW,경계 규칙,5,3,0.605,0.01791,0.02824,0,0,,,
B03_작은객체,MATCHED_LOW,경계 규칙,16,22,0.564,0.00323,0.00312,0,0,,,
B03_작은객체,MATCHED_LOW,경계 규칙,12,15,0.559,0.00419,0.0049,0,0,,,
B03_작은객체,A_MISSING,,,0,0.0,,0.00152,,1,프레임 접촉,,
B03_작은객체,A_MISSING,,,1,0.0,,0.00125,,1,프레임 접촉,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),,2,0.14,,0.00826,,0,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),15,4,0.477,,0.00377,,0,,,
B03_작은객체,A_MISSING,,,5,0.0,,0.00625,,1,프레임 접촉,빼는게_맞음,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),20,7,0.46,,0.00553,,0,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),10,8,0.452,,0.00615,,0,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),9,9,0.465,,0.00481,,0,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),13,11,0.277,,0.00747,,0,,,
B03_작은객체,A_MISSING,,,13,0.0,,0.002,,1,프레임 접촉,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),21,28,0.384,,0.00538,,0,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),26,29,0.493,,0.00538,,0,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),9,,0.465,0.00419,,0,,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),10,,0.452,0.00419,,0,,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),13,,0.277,0.00419,,0,,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),15,4,0.477,0.00419,,0,,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),19,,0.14,0.00368,,0,,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),20,,0.46,0.00374,,0,,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),21,,0.384,0.00346,,0,,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),26,,0.493,0.004,,0,,,,
